,id,sentence,subject_entity,object_entity,label
0,최소기능제품_67,MVP는 사용자가 제품의 특징과 미래를 정의할 수 있도록 사용자의 말을 듣는 공개 소스 소프트웨어 방법론인 조기 릴리스와는 다르다.,"{'start': 0, 'text': 'MVP', 'type': 'poh'}","{'start': 60, 'text': '조기 릴리스', 'type': 'poh'}",no_relation
1,최소기능제품_22,MVP는 핵심적인 기능만 있는 제품이기 때문에 외관상 조악하고 부실하게 보일 수 있다. 다만 창업자가 구상한 제품 아이디어가 무엇인지 정도만 확인할 수 있으면 된다.,"{'start': 52, 'text': '창업자', 'type': 'per'}","{'start': 0, 'text': 'MVP', 'type': 'poh'}",product
2,최소기능제품_37,"예를 들어, 2015년에 시드니 대학의 전문가들이 농장과 잡초 관리를 자동화하기 위해 리파 로봇을 고안했다.","{'start': 14, 'text': '시드니 대학', 'type': 'org'}","{'start': 48, 'text': '리파 로봇', 'type': 'poh'}",product
3,최소기능제품_122,"예약하기 전 본인의 위치 주위에 우버 드라이버들을 보여주고, 승차요금을 예상하고, 요금을 나누어 낼 수 있게 하면서 모바일 지갑과 연동하고, 드라이버들을 러시아워에 맞게 배치하는 등 지금까지도 모바일 앱으로는 가장 뛰어난 기능과 확장성을 보여줬다.","{'start': 18, 'text': '우버 드라이버', 'type': 'per'}","{'start': 108, 'text': '모바일 앱', 'type': 'poh'}",no_relation
4,최소기능제품_100,Airbnb는 2007년 샌프란시스코에서 시작되었다.,"{'start': 0, 'text': 'Airbnb', 'type': 'org'}","{'start': 14, 'text': '샌프란시스코', 'type': 'loc'}",location
5,최소기능제품_13,"시장이 어떻게 반응할지 고객에게 잠재적 비즈니스 모델을 테스트하기 때문에, 조립식 격리된 비즈니스 모델을 실행하는 것보다 잠재적 비즈니스 기회가 어디에 존재하는지 파악하는 데 더 관심이 있는 신생/창업 기업에게 특히 유용하다.","{'start': 22, 'text': '비즈니스 모델', 'type': 'poh'}","{'start': 72, 'text': '비즈니스 기회', 'type': 'poh'}",no_relation
6,최소기능제품_73,최소 기능 제품은 비즈니스 모델 캔버스의 선택된 구성 요소를 사용하여 설계할 수 있습니다.,"{'start': 0, 'text': '최소 기능 제품', 'type': 'poh'}","{'start': 15, 'text': '모델 캔버스', 'type': 'poh'}",no_relation
7,최소기능제품_76,"어떤 방법을 선택하든 MVP를 사용할 때 핵심은 가능한 한 많이 배우면서 비용을 적게 들이는 것이며, 따라서 이 경우 가능한 최소 비용으로 시장을 검증하는 것이다.","{'start': 12, 'text': 'MVP', 'type': 'poh'}","{'start': 70, 'text': '최소 비용', 'type': 'poh'}",no_relation
8,최소기능제품_148,쿠팡 관계자는 “새로운 서비스를 전사적으로 확대하기 전에 반드시 MVP(최소기능제품)로 만들어보고 테스트를 거친다”고 설명했다.,"{'start': 0, 'text': '쿠팡 관계자', 'type': 'per'}","{'start': 36, 'text': 'MVP', 'type': 'poh'}",product
9,최소기능제품_68,MVP는 제품의 잠재적 미래 고객의 명시적이고 암시적인(간접적인 측정) 피드백에 기초하여 조정되지만 제품 수명 주기 내내 유지되는 제품 비전으로 시작한다.,"{'start': 0, 'text': 'MVP', 'type': 'poh'}","{'start': 56, 'text': '제품', 'type': 'poh'}",no_relation
10,최소기능제품_56,"위에서 설명한 것처럼, MVP는 아이디어가 최소한의 비용을 사용하면서 시장 환경에서 작동하는지 여부를 테스트 한다.","{'start': 13, 'text': 'MVP', 'type': 'poh'}","{'start': 39, 'text': '시장 환경', 'type': 'poh'}",no_relation
11,최소기능제품_0,"최소 기능 제품(Minimum Viable Product, MVP)는 고객의 피드백을 받아 최소한의 기능(features)을 구현한 제품이다.","{'start': 0, 'text': '최소 기능 제품', 'type': 'poh'}","{'start': 51, 'text': '최소한의 기능', 'type': 'poh'}",poh:type
12,최소기능제품_128,"그들이 발견한 사실은 많은 사람이 스트리밍이건 다운로드건 음악을 듣는 것을 매우 좋아하며, 즉흥적으로 음악을 골라서 듣는 경향이 강하다는 사실을 파악했다.","{'start': 19, 'text': '스트리밍', 'type': 'poh'}","{'start': 26, 'text': '다운로드', 'type': 'poh'}",no_relation
13,최소기능제품_101,창업자인 브라이언 체스키와 조 게비아는 당시 디자인 컨퍼런스 참석을 위해 호텔을 찾고 있던 3명의 디자이너에게 저렴한 비용에 그들의 아파트를 제공했다.,"{'start': 5, 'text': '브라이언 체스키', 'type': 'per'}","{'start': 15, 'text': '조 게비아', 'type': 'per'}",related
14,최소기능제품_163,고객이 플랫폼(예: 앱 스토어)을 통해 경쟁 제품 간에 쉽게 전환할 수 있기 때문에 모바일 및 디지털 제품의 많은 개발자들이 MVP를 비판하고 있다.,"{'start': 4, 'text': '플랫폼', 'type': 'poh'}","{'start': 70, 'text': 'MVP', 'type': 'poh'}",no_relation
15,최소기능제품_129,음질이 충분히 좋은 음악을 빠르게 스트리밍으로 제공할 수 있다면 이 시장을 바꿀 수 있다는 실험을 성공적으로 한 것이다.,"{'start': 11, 'text': '음악', 'type': 'poh'}","{'start': 19, 'text': '스트리밍', 'type': 'poh'}",no_relation
16,최소기능제품_9,MVP는 2001년 프랭크 로빈슨에 의해 만들어졌고 스티브 블랭크와 에릭 리스에 의해 대중화되었다.,"{'start': 11, 'text': '프랭크 로빈슨', 'type': 'per'}","{'start': 0, 'text': 'MVP', 'type': 'poh'}",product
17,최소기능제품_133,"스웨덴의 영향력 있는 음악 블로거가 경험을 공유하고, 혁신적인 앱에 대한 소식을 전 세계에 부지런히 알렸다.","{'start': 0, 'text': '스웨덴', 'type': 'org'}","{'start': 12, 'text': '음악 블로거', 'type': 'per'}",org:members
18,최소기능제품_154,최소 실행 가능한 브랜드(MVB) 개념을 사용하면 브랜드 가설이 전략적 의도와 시장 통찰력에 기초하도록 보장할 수 있다.,"{'start': 0, 'text': '최소 실행 가능한 브랜드', 'type': 'poh'}","{'start': 44, 'text': '시장 통찰력', 'type': 'poh'}",no_relation
